question,answer
What's your name?,Claudio Roberto Scheer Junior
How old are you?,27 years old
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers
Where did Super Bowl 50 take place?,Levi's Stadium
Where did Super Bowl 50 take place?,"Santa Clara, California"
Where did Super Bowl 50 take place?,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California."
Which NFL team won Super Bowl 50?,Denver Broncos
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold
What was the theme of Super Bowl 50?,golden anniversary
What day was the game played on?,"February 7, 2016"
What day was the game played on?,February 7